"","x"
"1771",20
"1772",1
"1773",5
"1774",1
"1775",19
"1776",18
"1777",5
"1778",16
"1779",19
"1780",14
"1781",3
"1782",5
"1783",18
"1784",15
"1785",15
"1786",2
"1787",7
"1788",1
"1789",5
"1790",17
"1791",5
"1792",12
"1793",5
"1794",4
"1795",3
"1796",17
"1797",19
"1798",2
"1799",13
"1800",1
"1801",2
"1802",15
"1803",1
"1804",1
"1805",15
"1806",1
"1807",13
"1808",2
"1809",2
"1810",5
"1811",17
"1812",18
"1813",8
"1814",8
"1815",13
"1816",5
"1817",1
"1818",9
"1819",9
"1820",1
"1821",18
"1822",1
"1823",1
"1824",18
"1825",17
"1826",1
"1827",5
"1828",17
"1829",13
"1830",18
"1831",1
"1832",1
"1833",1
"1834",5
"1835",18
"1836",16
"1837",18
"1838",4
"1839",15
"1840",1
"1841",3
"1842",19
"1843",6
"1844",19
"1845",1
"1846",3
"1847",20
"1848",1
"1849",9
"1850",1
"1851",16
"1852",1
"1853",15
"1854",6
"1855",2
"1856",9
"1857",17
"1858",17
"1859",1
"1860",8
"1861",20
"1862",20
"1863",20
"1864",9
"1865",1
"1866",2
"1867",17
"1868",11
"1869",5
"1870",5
"1871",5
"1872",1
"1873",1
"1874",8
"1875",10
"1876",19
"1877",17
"1878",1
"1879",1
"1880",5
"1881",17
"1882",15
"1883",1
"1884",15
"1885",5
"1886",3
"1887",19
"1888",1
"1889",1
"1890",17
"1891",1
"1892",5
"1893",11
"1894",1
"1895",5
"1896",15
"1897",1
"1898",5
"1899",18
"1900",1
"1901",5
"1902",20
"1903",6
"1904",14
"1905",1
"1906",5
"1907",5
"1908",19
"1909",9
"1910",5
"1911",20
"1912",9
"1913",1
"1914",5
"1915",12
"1916",9
"1917",19
"1918",5
"1919",5
"1920",4
"1921",13
"1922",6
"1923",1
"1924",3
"1925",17
"1926",1
"1927",17
"1928",17
"1929",6
"1930",14
"1931",4
"1932",15
"1933",17
"1934",5
"1935",11
"1936",17
"1937",17
"1938",15
"1939",3
"1940",18
"1941",3
"1942",2
"1943",19
"1944",17
"1945",6
"1946",11
"1947",2
"1948",7
"1949",19
"1950",7
"1951",5
"1952",10
"1953",17
"1954",1
"1955",19
"1956",5
"1957",18
"1958",6
"1959",1
"1960",9
"1961",19
"1962",7
"1963",6
"1964",4
"1965",13
"1966",1
"1967",1
"1968",1
"1969",4
"1970",17
"1971",5
"1972",1
"1973",13
"1974",1
"1975",7
"1976",20
"1977",5
"1978",5
"1979",5
"1980",1
"1981",1
"1982",7
"1983",1
"1984",5
"1985",20
"1986",18
"1987",6
"1988",17
"1989",17
"1990",17
"1991",16
"1992",7
"1993",17
"1994",5
"1995",1
"1996",13
"1997",18
"1998",3
